finnish,english
kapteeni,captain
olimme,we were
auta,help me
paitsi,except
uuden,new
kanssani,with me
äitisi,your mother
luuletko,Do you think
tänä,this
john,john
kanssaan,with him
puhut,you speak
vuoksi,because of
suoraan,directly
näytät,you show
kaikkea,everything
aikaan,at the time
päivän,of the day
haloo,Hello
mikset,why don't you
sieltä,from there
voitte,you win
kävi,happened
uskon,I believe
tietenkin,Of course
ystäväni,my friend
löysin,i found
minuuttia,minutes
asiat,things
hätää,don't worry
toki,Sure
maailman,world
nuo,those
tietysti,Of course
palaa,burn
kuule,Listen
pikku,little
tarvitsee,needs
jumala,God
maksaa,pay
tarvitsemme,we need
hetkinen,Wait a minute
new,new
auto,car
tuntia,hours
tapahtunut,happened
soita,call
sanonut,said
voitko,can you
mä,me
sille,for it
jää,ice
menossa,on
jolla,whereby
tervetuloa,welcome
lähellä,near
työtä,work
elää,live
kovin,very
pojat,boys
sanon,I say
ongelma,problem
yötä,night
jätä,drift net
hullu,crazy
saamme,we get
muita,others
sinuun,to you
näe,see
minulta,from me
tiesin,I knew
katsokaa,take a look
sellainen,such
jättää,leave
tavalla,way
ai,Oh
lapset,issue
aiemmin,previously
tapa,way
ensi,next
viedä,export
menkää,go
huomenta,Good morning
niiden,their
yhtään,any
jack,jack
yritä,try
muistatko,Do you remember
vuonna,in the year
tarkoitan,i mean
sopii,fits
parasta,the best
päivänä,on the day
äitini,my mother
viimeinen,last
helvetti,hell
soitan,I'm calling
onnea,Good luck
sehän,that's it
oma,own
terve,healthy
samoin,likewise
heillä,they have
välitä,choose
annan,i give
suuri,large
tiedämme,we know
ihminen,man
hoitaa,manage
vaivaa,trouble
huono,bad
hyvät,ladies
miestä,a man
jäädä,stay
tulit,you came
molemmat,both
heistä,of them
vaikea,difficult
sanot,you say
aamulla,in the morning
olkaa,be
kysyä,ask
väärin,wrong
väliä,matter
mahtavaa,awesome
paremmin,better
viitsi,I'm sorry
muka,supposedly
tulevat,are coming
päälle,on
monta,various
luo,round
kahden,the two of you
pääse,get in
vauhtia,speed
olleet,have been
valmiina,at the ready
teistä,of you
aio,going to
voivat,they can
käydä,visit
onneksi,fortunately
miehet,gentlemen
lähde,source
vastaa,answers
antoi,gave
syytä,the reason
haluavat,want to
takana,double cloth
joita,whom
naisen,a woman
lapsi,child
tuossa,there
lähden,i'm leaving
uudelleen,again
töissä,at work
rauhoitu,Take it easy
unohda,forget it
katsomaan,to watch
lähdetään,let's go
naiset,ladies
kaikkien,of everyone
aion,I'm going to
uutta,new
toimi,action
asiassa,in the matter
poikani,my son
saattaa,may
yritin,I tried
toimii,works
tärkeää,important
paha,evil
sisällä,indoors
uudestaan,re-
pidät,you like
tuskin,hardly
muistan,i remember
etkä,and you don't
lähti,Lahti
taitaa,know
ongelmia,problems
tarvitset,you need
tappoi,killed
menemme,we go
tunnin,-hour
sinulta,from you
kysymys,question
voisit,you could
ruokaa,food
näitä,these
kaikille,to everyone
haluatte,you want
iltana,in the evening
ovi,door
tekemään,to do
onkin,it is
sinäkin,you too
tehty,made
lapsia,children
elossa,alive
aikana,during
hoidan,I'll take care
outoa,strange
etsin,viewfinder
kestä,endure
ulkona,outdoors
kuolla,die
alkoi,started
menet,you go
muuttaa,change
kunhan,as long as
naimisiin,get married
aiot,you are going to
ase,gun
elämä,life
katsoa,look
lopettaa,stop
maan,terrestrial
michael,michael
tyyppi,type
häneen,to him
täynnä,full
hyviä,good ones
auton,car
tytön,a girl
voisimme,we could
vittu,damn
puhun,I'm talking
oikeastaan,really
yleensä,usually
avaa,open
puoli,half
sekä,mixed
hakemaan,to apply
joko,either
kuusi,six
tulet,you will
voisitko,will you please
toivon,I hope
vaikeaa,difficult
palata,return
olemaan,to be
laita,wing
hetken,for a moment
ystäviä,friends
jatkaa,continue
muu,other
ikävä,tedious
töihin,to work
tilanne,situation
mahdollista,possible
erittäin,very
hätänä,up
verta,blood
tekevät,they do
helvettiä,damn it
vaikuttaa,influence
seuraa,will follow
mukavaa,nice
homma,business
elämäni,my life
istu,sit down
paikan,place
pitkä,long
saisi,would get
luona,by
kuulemma,reportedly
lupaan,I promise
käynyt,visited
vaimoni,my wife
vettä,water
nuori,young
kaikkia,everyone
nimeni,my name
alla,below
ovatko,are they
auki,open
kenen,whose
pyytää,request
ollaan,let's be
saimme,we got
tehtävä,task
oman,own
yhteen,together
sä,you
kestää,take
sanotaan,it is said
paikalla,on the spot
taida,I guess
jokainen,every
haluamme,we want
saatte,you can
vihainen,mad
jutella,chat
puolesta,on behalf of
olekin,I am
antakaa,please give
teette,you do
ystävä,friend
turvassa,in security
eihän,no
usein,often
välillä,between
tytöt,the girls
uskomatonta,beyond belief
voittaa,win
josta,whereof
miksei,why not
luota,from
iloinen,cheerful
luottaa,trust
ihmisten,of people
häneltä,from her
näetkö,You see
illalla,in the evening
väärässä,wrong
yritti,tried
